"genes","symbol","v15.Counts","v32.Counts"
"ENSG00000006715","VPS41",2661,2630
"ENSG00000006740","ARHGAP44",42,31
"ENSG00000006744","ELAC2",2548,2531
"ENSG00000006747","SCIN",12,11
"ENSG00000006756","ARSD",1534,1307
"ENSG00000006757","PNPLA4",227,220
"ENSG00000006788","MYH13",0,0
"ENSG00000006831","ADIPOR2",2841,2802
"ENSG00000006837","CDKL3",39,31
"ENSG00000007001","UPP2",71,70
"ENSG00000007038","PRSS21",2668,2624
"ENSG00000007047","MARK4",1191,1164
"ENSG00000007062","PROM1",10441,9905
"ENSG00000007080","CCDC124",442,437
"ENSG00000007129","CEACAM21",191,179
"ENSG00000007168","PAFAH1B1",4418,4760
"ENSG00000007171","NOS2",13,12
"ENSG00000007174","DNAH9",21,20
"ENSG00000007202","KIAA0100",13890,10516
"ENSG00000007216","SLC13A2",5,3
"ENSG00000007237","GAS7",7387,7283
"ENSG00000007255","TRAPPC6A",466,454
"ENSG00000007264","MATK",1819,1771
"ENSG00000007306","CEACAM7",0,0
"ENSG00000007312","CD79B",840,315
"ENSG00000007314","SCN4A",29,28
"ENSG00000007341","ST7L",712,707
"ENSG00000007350","TKTL1",48,47
"ENSG00000007372","PAX6",112,14
"ENSG00000007376","RPUSD1",784,743
"ENSG00000007384","RHBDF1",210,204
"ENSG00000007392","LUC7L",2521,2482
"ENSG00000007402","CACNA2D2",142,117
"ENSG00000007516","BAIAP3",64,62
"ENSG00000007520","TSR3",382,304
"ENSG00000007541","PIGQ",1183,825
"ENSG00000007545","CRAMP1",1253,815
"ENSG00000007866","TEAD3",58,55
"ENSG00000007908","SELE",10,10
"ENSG00000007923","DNAJC11",1330,1303
"ENSG00000007933","FMO3",211,206
"ENSG00000007944","MYLIP",2078,2044
"ENSG00000007952","NOX1",2,2
"ENSG00000007968","E2F2",1097,1073
"ENSG00000008018","PSMB1",2186,2164
"ENSG00000008056","SYN1",14,10
"ENSG00000008083","JARID2",4698,4697
"ENSG00000008086","CDKL5",471,479
"ENSG00000008118","CAMK1G",0,0
"ENSG00000008128","CDK11A",556,104
"ENSG00000008130","NADK",3120,3070
"ENSG00000008196","TFAP2B",0,0
"ENSG00000008197","TFAP2D",0,0
"ENSG00000008226","DLEC1",246,231
"ENSG00000008256","CYTH3",674,663
"ENSG00000008277","ADAM22",565,559
"ENSG00000008282","SYPL1",2325,2304
"ENSG00000008283","CYB561",1026,999
"ENSG00000008294","SPAG9",3103,3057
"ENSG00000008300","CELSR3",247,236
"ENSG00000008311","AASS",232,351
"ENSG00000008323","PLEKHG6",213,212
"ENSG00000008324","SS18L2",292,306
"ENSG00000008382","MPND",259,179
"ENSG00000008394","MGST1",3777,3718
"ENSG00000008405","CRY1",333,305
"ENSG00000008438","PGLYRP1",112,110
"ENSG00000008441","NFIX",2149,2104
"ENSG00000008513","ST3GAL1",6437,6378
"ENSG00000008516","MMP25",403,270
"ENSG00000008517","IL32",271,258
"ENSG00000008710","PKD1",6879,5767
"ENSG00000008735","MAPK8IP2",26,24
"ENSG00000008838","MED24",3288,3195
"ENSG00000008853","RHOBTB2",1372,853
"ENSG00000008869","HEATR5B",4290,4243
"ENSG00000008952","SEC62",4635,4565
"ENSG00000008988","RPS20",16117,17245
"ENSG00000009307","CSDE1",15366,15213
"ENSG00000009335","UBE3C",3974,3925
"ENSG00000009413","REV3L",4276,4058
"ENSG00000009694","TENM1",435,426
"ENSG00000009709","PAX7",0,0
