"genes","symbol","v15.Counts","v32.Counts","relative_change_v15tov32","relative_change_v32tov15","absolute_change"
"ENSG00000000003","TSPAN6",48,48,0,0,0
"ENSG00000000005","TNMD",0,0,NA,NA,0
"ENSG00000000419","DPM1",461,450,0.0238611713665944,0.0244444444444444,11
"ENSG00000000457","SCYL3",849,767,0.0965842167255595,0.106910039113429,82
"ENSG00000000460","C1orf112",718,669,0.0682451253481894,0.0732436472346786,49
"ENSG00000000938","FGR",2908,2838,0.0240715268225585,0.0246652572233968,70
"ENSG00000000971","CFH",1979,1959,0.0101061141990905,0.0102092904543134,20
"ENSG00000001036","FUCA2",912,611,0.330043859649123,0.492635024549918,301
"ENSG00000001084","GCLC",2179,1868,0.142726021110601,0.166488222698073,311
"ENSG00000001167","NFYA",2538,2219,0.125689519306541,0.143758449752141,319
"ENSG00000001460","STPG1",148,145,0.0202702702702703,0.0206896551724138,3
"ENSG00000001461","NIPAL3",2105,2007,0.0465558194774347,0.0488290981564524,98
"ENSG00000001497","LAS1L",2016,2363,0.172123015873016,0.146847228099873,347
"ENSG00000001561","ENPP4",875,865,0.0114285714285714,0.0115606936416185,10
"ENSG00000001617","SEMA3F",14,14,0,0,0
"ENSG00000001626","CFTR",1,1,NA,NA,0
"ENSG00000001629","ANKIB1",2965,2922,0.0145025295109612,0.014715947980835,43
"ENSG00000001630","CYP51A1",113,61,0.460176991150442,0.852459016393443,52
"ENSG00000001631","KRIT1",2280,485,0.787280701754386,3.70103092783505,1795
"ENSG00000002016","RAD52",1676,1711,0.0208830548926014,0.0204558737580362,35
"ENSG00000002079","MYH16",32,31,0.03125,0.032258064516129,1
"ENSG00000002330","BAD",213,94,0.55868544600939,1.26595744680851,119
"ENSG00000002549","LAP3",1236,1221,0.0121359223300971,0.0122850122850123,15
"ENSG00000002586","CD99",5407,6162,0.139633808026632,0.122525154170724,755
"ENSG00000002587","HS3ST1",163,159,0.0245398773006135,0.0251572327044025,4
"ENSG00000002726","AOC1",51,49,0.0392156862745098,0.0408163265306122,2
"ENSG00000002745","WNT16",34,33,0.0294117647058824,0.0303030303030303,1
"ENSG00000002746","HECW1",6,6,NA,NA,0
"ENSG00000002822","MAD1L1",817,123,0.849449204406365,5.64227642276423,694
"ENSG00000002834","LASP1",7627,6416,0.158778025435951,0.188746882793017,1211
"ENSG00000002919","SNX11",656,662,0.00914634146341463,0.00906344410876133,6
"ENSG00000002933","TMEM176A",725,701,0.0331034482758621,0.0342368045649073,24
"ENSG00000003056","M6PR",3742,3442,0.0801710315339391,0.0871586287042417,300
"ENSG00000003096","KLHL13",342,344,0.00584795321637427,0.00581395348837209,2
"ENSG00000003137","CYP26B1",54,52,0.037037037037037,0.0384615384615385,2
"ENSG00000003147","ICA1",559,528,0.0554561717352415,0.0587121212121212,31
"ENSG00000003249","DBNDD1",44,43,0.0227272727272727,0.0232558139534884,1
"ENSG00000003393","ALS2",1401,1380,0.0149892933618844,0.0152173913043478,21
"ENSG00000003400","CASP10",1655,1622,0.0199395770392749,0.0203452527743527,33
"ENSG00000003402","CFLAR",11525,10197,0.115227765726681,0.130234382661567,1328
"ENSG00000003436","TFPI",1333,1259,0.0555138784696174,0.0587768069896743,74
"ENSG00000003509","NDUFAF7",680,633,0.0691176470588235,0.0742496050552923,47
"ENSG00000003756","RBM5",7915,6510,0.177511054958939,0.215821812596006,1405
"ENSG00000003987","MTMR7",772,661,0.143782383419689,0.167927382753404,111
"ENSG00000003989","SLC7A2",276,274,0.0072463768115942,0.0072992700729927,2
"ENSG00000004059","ARF5",1491,1118,0.250167672702884,0.333631484794276,373
"ENSG00000004139","SARM1",1068,814,0.237827715355805,0.312039312039312,254
"ENSG00000004142","POLDIP2",1626,1592,0.020910209102091,0.021356783919598,34
"ENSG00000004399","PLXND1",20770,20308,0.0222436206066442,0.0227496553082529,462
"ENSG00000004455","AK2",4903,5488,0.11931470528248,0.106596209912536,585
"ENSG00000004468","CD38",4134,4058,0.0183841315916788,0.0187284376540168,76
"ENSG00000004478","FKBP4",3847,3055,0.205874707564336,0.259247135842881,792
"ENSG00000004487","KDM1A",3519,3467,0.0147769252628588,0.0149985578309778,52
"ENSG00000004534","RBM6",4271,4218,0.0124092718332943,0.0125651967757231,53
"ENSG00000004660","CAMKK1",391,379,0.030690537084399,0.0316622691292876,12
"ENSG00000004700","RECQL",1016,910,0.104330708661417,0.116483516483516,106
"ENSG00000004766","VPS50",871,862,0.0103329506314581,0.0104408352668213,9
"ENSG00000004776","HSPB6",13,7,0.461538461538462,0.857142857142857,6
"ENSG00000004777","ARHGAP33",1220,1024,0.160655737704918,0.19140625,196
"ENSG00000004779","NDUFAB1",524,521,0.00572519083969466,0.00575815738963532,3
"ENSG00000004799","PDK4",135,135,0,0,0
"ENSG00000004809","SLC22A16",927,918,0.00970873786407767,0.00980392156862745,9
"ENSG00000004838","ZMYND10",90,53,0.411111111111111,0.69811320754717,37
"ENSG00000004846","ABCB5",6,6,NA,NA,0
"ENSG00000004848","ARX",0,1,NA,NA,1
"ENSG00000004864","SLC25A13",599,593,0.010016694490818,0.0101180438448567,6
"ENSG00000004866","ST7",943,605,0.358430540827147,0.558677685950413,338
"ENSG00000004897","CDC27",2050,1863,0.0912195121951219,0.100375738056897,187
"ENSG00000004939","SLC4A1",5261,5149,0.0212887283786352,0.0217517964653331,112
"ENSG00000004948","CALCR",0,0,NA,NA,0
"ENSG00000004961","HCCS",227,224,0.013215859030837,0.0133928571428571,3
"ENSG00000004975","DVL2",1115,1083,0.0286995515695067,0.0295475530932595,32
"ENSG00000005001","PRSS22",5,5,NA,NA,0
"ENSG00000005007","UPF1",3376,3310,0.0195497630331754,0.0199395770392749,66
"ENSG00000005020","SKAP2",3595,3546,0.0136300417246175,0.0138183869148336,49
"ENSG00000005022","SLC25A5",4456,3855,0.134874326750449,0.155901426718547,601
"ENSG00000005059","MCUB",569,554,0.0263620386643234,0.0270758122743682,15
"ENSG00000005073","HOXA11",9,9,NA,NA,0
"ENSG00000005075","POLR2J",396,385,0.0277777777777778,0.0285714285714286,11
"ENSG00000005100","DHX33",1842,1759,0.0450597176981542,0.0471859010801592,83
"ENSG00000005102","MEOX1",7,6,NA,NA,1
"ENSG00000005108","THSD7A",1577,1461,0.0735573874445149,0.0793976728268309,116
"ENSG00000005156","LIG3",1866,1810,0.030010718113612,0.030939226519337,56
"ENSG00000005175","RPAP3",1119,1104,0.0134048257372654,0.0135869565217391,15
"ENSG00000005187","ACSM3",1029,962,0.06511175898931,0.0696465696465697,67
"ENSG00000005189","REXO5",800,772,0.035,0.0362694300518135,28
"ENSG00000005194","CIAPIN1",845,838,0.00828402366863905,0.00835322195704057,7
"ENSG00000005206","SPPL2B",3842,3368,0.123373243102551,0.140736342042755,474
"ENSG00000005238","FAM214B",1167,1147,0.0171379605826907,0.01743679163034,20
"ENSG00000005243","COPZ2",58,56,0.0344827586206897,0.0357142857142857,2
"ENSG00000005249","PRKAR2B",1288,1267,0.016304347826087,0.0165745856353591,21
"ENSG00000005302","MSL3",1994,2503,0.255265797392177,0.203355972832601,509
"ENSG00000005339","CREBBP",9906,9797,0.0110034322632748,0.0111258548535266,109
"ENSG00000005379","TSPOAP1",33709,31676,0.0603103028864695,0.0641810834701351,2033
"ENSG00000005381","MPO",83076,81237,0.0221363570706341,0.02263746814875,1839
"ENSG00000005421","PON1",3,3,NA,NA,0
"ENSG00000005436","GCFC2",1023,856,0.163245356793744,0.195093457943925,167
"ENSG00000005448","WDR54",265,262,0.0113207547169811,0.0114503816793893,3
"ENSG00000005469","CROT",269,263,0.0223048327137546,0.0228136882129278,6
"ENSG00000005471","ABCB4",79,81,0.0253164556962025,0.0246913580246914,2
"ENSG00000005483","KMT2E",7228,6578,0.0899280575539568,0.0988142292490119,650
"ENSG00000005486","RHBDD2",954,940,0.0146750524109015,0.0148936170212766,14
"ENSG00000005513","SOX8",43,42,0.0232558139534884,0.0238095238095238,1
"ENSG00000005700","IBTK",2953,2919,0.0115137148662377,0.0116478245974649,34
"ENSG00000005801","ZNF195",1648,2772,0.682038834951456,0.405483405483406,1124
"ENSG00000005810","MYCBP2",17903,14652,0.181589677707647,0.221880971880972,3251
"ENSG00000005812","FBXL3",1365,940,0.311355311355311,0.452127659574468,425
"ENSG00000005844","ITGAL",7847,6501,0.1715305212183,0.207045069989232,1346
"ENSG00000005882","PDK2",343,321,0.0641399416909621,0.0685358255451713,22
"ENSG00000005884","ITGA3",105,102,0.0285714285714286,0.0294117647058824,3
"ENSG00000005889","ZFX",2013,1987,0.0129160457029309,0.0130850528434826,26
"ENSG00000005893","LAMP2",6148,6338,0.0309043591411841,0.0299779110129378,190
