"genes","symbol","v15.Counts","v32.Counts","relative_change_v15tov32","relative_change_v32tov15","absolute_change"
"ENSG00000021762","OSBPL5",1251,1213,0.0303756994404476,0.0313272877164056,38
"ENSG00000021776","AQR",3698,3609,0.0240670632774473,0.0246605707952341,89
"ENSG00000021826","CPS1",9,9,NA,NA,0
"ENSG00000021852","C8B",0,0,NA,NA,0
"ENSG00000022267","FHL1",1728,1696,0.0185185185185185,0.0188679245283019,32
"ENSG00000022277","RTF2",1943,1394,0.282552753474009,0.393830703012913,549
"ENSG00000022355","GABRA1",0,0,NA,NA,0
"ENSG00000022556","NLRP2",22,22,0,0,0
"ENSG00000022567","SLC45A4",222,195,0.121621621621622,0.138461538461538,27
"ENSG00000022840","RNF10",4433,4068,0.0823370178208888,0.089724680432645,365
"ENSG00000022976","ZNF839",448,415,0.0736607142857143,0.0795180722891566,33
"ENSG00000023041","ZDHHC6",2018,1956,0.0307234886025768,0.0316973415132924,62
"ENSG00000023171","GRAMD1B",565,697,0.233628318584071,0.189383070301291,132
"ENSG00000023191","RNH1",5307,5119,0.0354249104955719,0.0367259230318422,188
"ENSG00000023228","NDUFS1",5013,4768,0.0488729303810094,0.0513842281879195,245
"ENSG00000023287","RB1CC1",3239,3163,0.0234640321086755,0.0240278216882706,76
"ENSG00000023318","ERP44",3758,3699,0.0156998403406067,0.0159502568261692,59
"ENSG00000023330","ALAS1",784,760,0.0306122448979592,0.0315789473684211,24
"ENSG00000023445","BIRC3",827,774,0.064087061668682,0.0684754521963824,53
"ENSG00000023516","AKAP11",4864,4712,0.03125,0.032258064516129,152
"ENSG00000023572","GLRX2",161,753,3.67701863354037,0.786188579017264,592
"ENSG00000023608","SNAPC1",336,256,0.238095238095238,0.3125,80
"ENSG00000023697","DERA",1446,1415,0.0214384508990318,0.0219081272084806,31
"ENSG00000023734","STRAP",2931,2882,0.0167178437393381,0.0170020818875781,49
"ENSG00000023839","ABCC2",127,134,0.0551181102362205,0.0522388059701493,7
"ENSG00000023892","DEF6",2099,2036,0.0300142925202477,0.030943025540275,63
"ENSG00000023902","PLEKHO1",4791,4667,0.0258818618242538,0.0265695307478037,124
"ENSG00000023909","GCLM",321,317,0.0124610591900312,0.0126182965299685,4
"ENSG00000024048","UBR2",5796,5687,0.0188060731538992,0.0191665201336381,109
"ENSG00000024422","EHD2",373,363,0.0268096514745308,0.0275482093663912,10
"ENSG00000024526","DEPDC1",872,787,0.0974770642201835,0.108005082592122,85
"ENSG00000024862","CCDC28A",616,600,0.025974025974026,0.0266666666666667,16
"ENSG00000025039","RRAGD",1671,1629,0.0251346499102334,0.0257826887661142,42
"ENSG00000025156","HSF2",667,660,0.0104947526236882,0.0106060606060606,7
"ENSG00000025293","PHF20",3758,3670,0.0234167110164981,0.0239782016348774,88
"ENSG00000025423","HSD17B6",9,7,NA,NA,2
"ENSG00000025434","NR1H3",309,296,0.0420711974110032,0.0439189189189189,13
"ENSG00000025708","TYMP",5449,4501,0.173976876491099,0.210619862252833,948
"ENSG00000025770","NCAPH2",809,789,0.0247218788627936,0.0253485424588086,20
"ENSG00000025772","TOMM34",923,898,0.0270855904658722,0.0278396436525612,25
"ENSG00000025796","SEC63",4916,4660,0.0520748576078112,0.0549356223175966,256
"ENSG00000025800","KPNA6",5180,4694,0.0938223938223938,0.103536429484448,486
"ENSG00000026025","VIM",63677,37819,0.406080688474645,0.68373040006346,25858
"ENSG00000026036","RTEL1-TNFRSF6B",409,269,0.342298288508557,0.520446096654275,140
"ENSG00000026103","FAS",1400,1365,0.025,0.0256410256410256,35
"ENSG00000026297","RNASET2",4615,3169,0.313326110509209,0.456295361312717,1446
"ENSG00000026508","CD44",21871,20208,0.0760367610077271,0.0822941409342835,1663
"ENSG00000026559","KCNG1",0,0,NA,NA,0
"ENSG00000026652","AGPAT4",370,500,0.351351351351351,0.26,130
"ENSG00000026751","SLAMF7",790,773,0.0215189873417722,0.0219922380336352,17
"ENSG00000026950","BTN3A1",2708,2642,0.0243722304283604,0.0249810749432248,66
"ENSG00000027001","MIPEP",290,288,0.00689655172413793,0.00694444444444444,2
"ENSG00000027075","PRKCH",1021,899,0.11949069539667,0.135706340378198,122
"ENSG00000027644","INSRR",2,2,NA,NA,0
"ENSG00000027697","IFNGR1",4788,4755,0.0068922305764411,0.00694006309148265,33
"ENSG00000027847","B4GALT7",912,883,0.0317982456140351,0.0328425821064553,29
"ENSG00000027869","SH2D2A",27,27,0,0,0
"ENSG00000028116","VRK2",990,789,0.203030303030303,0.254752851711027,201
"ENSG00000028137","TNFRSF1B",14088,13596,0.034923339011925,0.0361871138570168,492
"ENSG00000028203","VEZT",1512,1465,0.0310846560846561,0.0320819112627986,47
"ENSG00000028277","POU2F2",9528,9275,0.0265533165407221,0.027277628032345,253
"ENSG00000028310","BRD9",1828,1789,0.0213347921225383,0.0217998882057015,39
"ENSG00000028528","SNX1",5248,5172,0.0144817073170732,0.0146945088940449,76
"ENSG00000028839","TBPL1",515,405,0.213592233009709,0.271604938271605,110
"ENSG00000029153","ARNTL2",820,758,0.075609756097561,0.0817941952506596,62
"ENSG00000029363","BCLAF1",9391,9260,0.0139495261420509,0.01414686825054,131
