"genes","symbol","v15.Counts","v32.Counts","relative_change_v15tov32","relative_change_v32tov15","absolute_change"
"ENSG00000000003","TSPAN6",5,4,NA,NA,1
"ENSG00000000005","TNMD",0,0,NA,NA,0
"ENSG00000000419","DPM1",698,686,0.0171919770773639,0.0174927113702624,12
"ENSG00000000457","SCYL3",1129,988,0.12488928255093,0.142712550607287,141
"ENSG00000000460","C1orf112",658,593,0.0987841945288754,0.109612141652614,65
"ENSG00000000938","FGR",994,967,0.0271629778672032,0.0279214064115822,27
"ENSG00000000971","CFH",25,24,0.04,0.0416666666666667,1
"ENSG00000001036","FUCA2",1054,728,0.309297912713473,0.447802197802198,326
"ENSG00000001084","GCLC",2198,1910,0.131028207461328,0.150785340314136,288
"ENSG00000001167","NFYA",3231,2866,0.112968121324667,0.127355198883461,365
"ENSG00000001460","STPG1",222,200,0.0990990990990991,0.11,22
"ENSG00000001461","NIPAL3",2805,2708,0.0345811051693405,0.0358197932053176,97
"ENSG00000001497","LAS1L",1661,1957,0.178205900060205,0.151251916198263,296
"ENSG00000001561","ENPP4",440,429,0.025,0.0256410256410256,11
"ENSG00000001617","SEMA3F",68,69,0.0147058823529412,0.0144927536231884,1
"ENSG00000001626","CFTR",1,1,NA,NA,0
"ENSG00000001629","ANKIB1",2652,2605,0.0177224736048265,0.018042226487524,47
"ENSG00000001630","CYP51A1",119,54,0.546218487394958,1.2037037037037,65
"ENSG00000001631","KRIT1",2551,656,0.742845942767542,2.88871951219512,1895
"ENSG00000002016","RAD52",1680,1725,0.0267857142857143,0.0260869565217391,45
"ENSG00000002079","MYH16",56,55,0.0178571428571429,0.0181818181818182,1
"ENSG00000002330","BAD",256,115,0.55078125,1.22608695652174,141
"ENSG00000002549","LAP3",1315,1291,0.0182509505703422,0.0185902401239349,24
"ENSG00000002586","CD99",6912,7112,0.0289351851851852,0.0281214848143982,200
"ENSG00000002587","HS3ST1",6,5,NA,NA,1
"ENSG00000002726","AOC1",30,30,0,0,0
"ENSG00000002745","WNT16",24,23,0.0416666666666667,0.0434782608695652,1
"ENSG00000002746","HECW1",2,2,NA,NA,0
"ENSG00000002822","MAD1L1",645,78,0.87906976744186,7.26923076923077,567
"ENSG00000002834","LASP1",6234,5381,0.136830285530959,0.158520721055566,853
"ENSG00000002919","SNX11",570,568,0.00350877192982456,0.00352112676056338,2
"ENSG00000002933","TMEM176A",0,0,NA,NA,0
"ENSG00000003056","M6PR",2936,2569,0.125,0.142857142857143,367
"ENSG00000003096","KLHL13",125,127,0.016,0.015748031496063,2
"ENSG00000003137","CYP26B1",1,1,NA,NA,0
"ENSG00000003147","ICA1",814,772,0.0515970515970516,0.0544041450777202,42
"ENSG00000003249","DBNDD1",10,9,0.1,0.111111111111111,1
"ENSG00000003393","ALS2",2228,2195,0.0148114901256732,0.0150341685649203,33
"ENSG00000003400","CASP10",1872,1847,0.0133547008547009,0.0135354629128316,25
"ENSG00000003402","CFLAR",9646,8580,0.110512129380054,0.124242424242424,1066
"ENSG00000003436","TFPI",3859,3610,0.0645244882093807,0.0689750692520776,249
"ENSG00000003509","NDUFAF7",563,547,0.0284191829484902,0.0292504570383912,16
"ENSG00000003756","RBM5",9173,7808,0.14880627929794,0.174820696721311,1365
"ENSG00000003987","MTMR7",534,473,0.114232209737828,0.128964059196617,61
"ENSG00000003989","SLC7A2",1,1,NA,NA,0
"ENSG00000004059","ARF5",1069,836,0.217960710944808,0.278708133971292,233
"ENSG00000004139","SARM1",375,298,0.205333333333333,0.258389261744966,77
"ENSG00000004142","POLDIP2",1532,1493,0.0254569190600522,0.0261219022103148,39
"ENSG00000004399","PLXND1",10896,10656,0.0220264317180617,0.0225225225225225,240
"ENSG00000004455","AK2",6295,7026,0.116123907863384,0.104042129234273,731
"ENSG00000004468","CD38",3827,3767,0.0156780768225764,0.0159277940005309,60
"ENSG00000004478","FKBP4",7435,6015,0.190988567585743,0.236076475477972,1420
"ENSG00000004487","KDM1A",3784,3710,0.0195560253699789,0.0199460916442049,74
"ENSG00000004534","RBM6",4802,4714,0.0183256976259892,0.0186677980483666,88
"ENSG00000004660","CAMKK1",337,330,0.0207715133531157,0.0212121212121212,7
"ENSG00000004700","RECQL",1027,914,0.110029211295034,0.12363238512035,113
"ENSG00000004766","VPS50",900,888,0.0133333333333333,0.0135135135135135,12
"ENSG00000004776","HSPB6",4,2,NA,NA,2
"ENSG00000004777","ARHGAP33",1097,941,0.142206016408387,0.165781083953241,156
"ENSG00000004779","NDUFAB1",468,460,0.0170940170940171,0.0173913043478261,8
