"padj","gene","symbol","rank","rank_change"
2.61317916149216e-18,"ENSG00000062582","MRPS24",100,22469
2.64007451619223e-18,"ENSG00000167996","FTH1",101,2690
2.77176305484013e-18,"ENSG00000106823","ECM2",102,-46
2.79541846436879e-18,"ENSG00000143570","SLC39A1",103,25967
3.33150494113481e-18,"ENSG00000149798","CDC42EP2",104,12250
5.2364817651129e-18,"ENSG00000242114","MTFP1",105,10758
5.84674791645781e-18,"ENSG00000279605","AC067930.5",106,13558
7.54578517132946e-18,"ENSG00000122778","KIAA1549",107,-49
8.06158545476191e-18,"ENSG00000145029","NICN1",108,NA
9.63295315533087e-18,"ENSG00000166337","TAF10",109,19666
1.00631029004511e-17,"ENSG00000143632","ACTA1",110,-89
1.13902666671095e-17,"ENSG00000106992","AK1",111,1155
1.29445818165096e-17,"ENSG00000185262","UBALD2",112,-79
1.32173053641894e-17,"ENSG00000175826","CTDNEP1",113,1187
1.3606508450906e-17,"ENSG00000118276","B4GALT6",114,39
1.80744498773202e-17,"ENSG00000266820","KPNA2P3",115,NA
2.29218298684903e-17,"ENSG00000124102","PI3",116,-81
2.67864598709826e-17,"ENSG00000243708","PLA2G4B",117,42701
3.32254045379669e-17,"ENSG00000229314","ORM1",118,-72
4.35415146473299e-17,"ENSG00000158828","PINK1",119,-74
4.35415146473299e-17,"ENSG00000176340","COX8A",120,324
4.35415146473299e-17,"ENSG00000260592","AC130456.3",121,98
4.38841483396972e-17,"ENSG00000141086","CTRL",122,41792
5.86528342410306e-17,"ENSG00000243056","EIF4EBP3",123,44459
8.78764212280435e-17,"ENSG00000008128","CDK11A",124,12287
1.20895023956213e-16,"ENSG00000260279","AC137932.1",125,8835
1.2254530881558e-16,"ENSG00000105967","TFEC",126,-88
1.26472576704713e-16,"ENSG00000128271","ADORA2A",127,32309
1.70907886853373e-16,"ENSG00000219507","FTH1P8",128,-110
2.07289154678376e-16,"ENSG00000105393","BABAM1",129,3556
2.17405911652365e-16,"ENSG00000274173","AL035661.1",130,-77
2.69421936600439e-16,"ENSG00000213246","SUPT4H1",131,9426
4.14884637781454e-16,"ENSG00000099785","MARCHF2",132,-89
4.25099587910116e-16,"ENSG00000087086","FTL",133,-81
4.84587315063126e-16,"ENSG00000155189","AGPAT5",134,-63
5.88570227053922e-16,"ENSG00000105647","PIK3R2",135,28715
6.17395608686264e-16,"ENSG00000176208","ATAD5",136,-111
6.33559355341422e-16,"ENSG00000185201","IFITM2",137,-74
6.40245060486049e-16,"ENSG00000166507","NDST2",138,16635
6.75339864146951e-16,"ENSG00000246859","STARD4-AS1",139,-40
7.03664367791419e-16,"ENSG00000066279","ASPM",140,-12
7.22603812629671e-16,"ENSG00000213160","KLHL23",141,33
7.24774053539843e-16,"ENSG00000162366","PDZK1IP1",142,-83
7.57099078105388e-16,"ENSG00000266469","AC005288.1",143,15312
1.00237311454956e-15,"ENSG00000247828","TMEM161B-AS1",144,565
1.01570139805607e-15,"ENSG00000213073","CHP1P2",145,NA
1.12103967045743e-15,"ENSG00000167524","RSKR",146,4935
1.12887391511542e-15,"ENSG00000249898","MCPH1-AS1",147,387
1.16023314036662e-15,"ENSG00000136371","MTHFS",148,20000
1.16283176319789e-15,"ENSG00000022840","RNF10",149,-79
1.49013482707322e-15,"ENSG00000221957","KIR2DS4",150,-63
1.59629589564738e-15,"ENSG00000223609","HBD",151,5468
1.68050070246789e-15,"ENSG00000214456","PLIN5",152,-73
2.24553188923093e-15,"ENSG00000160229","ZNF66",153,373
2.28440738134203e-15,"ENSG00000126246","IGFLR1",154,5469
2.30423937924566e-15,"ENSG00000035664","DAPK2",155,-98
2.36115484440086e-15,"ENSG00000132846","ZBED3",156,-120
2.4060757035206e-15,"ENSG00000188603","CLN3",157,20674
2.75135704040241e-15,"ENSG00000151726","ACSL1",158,-104
2.83088453424421e-15,"ENSG00000226232","NPIPB14P",159,41668
3.25327163310621e-15,"ENSG00000051341","POLQ",160,-30
3.27692888073641e-15,"ENSG00000092054","MYH7",161,-130
3.56510717701939e-15,"ENSG00000198554","WDHD1",162,-77
3.67035076309312e-15,"ENSG00000142731","PLK4",163,-58
3.82529157360512e-15,"ENSG00000112651","MRPL2",164,30221
3.90894211487322e-15,"ENSG00000213468","FIRRE",165,222
4.05455640259873e-15,"ENSG00000186704","DTX2P1",166,42211
4.53911093036898e-15,"ENSG00000178502","KLHL11",167,104
4.56100240071748e-15,"ENSG00000196998","WDR45",168,394
4.64868748387433e-15,"ENSG00000118193","KIF14",169,27
4.81185375390817e-15,"ENSG00000114626","ABTB1",170,-119
4.92954314117219e-15,"ENSG00000254505","CHMP4A",171,25194
5.12643420133637e-15,"ENSG00000134072","CAMK1",172,26515
5.58787615254435e-15,"ENSG00000077454","LRCH4",173,3526
5.58910816498805e-15,"ENSG00000103569","AQP9",174,-92
6.6438147021943e-15,"ENSG00000262814","MRPL12",175,42140
7.04114072483688e-15,"ENSG00000196843","ARID5A",176,-129
7.20725638367045e-15,"ENSG00000206172","HBA1",177,-16
7.53914909347782e-15,"ENSG00000213654","GPSM3",178,-110
8.49658014451617e-15,"ENSG00000139618","BRCA2",179,-117
9.42203421961842e-15,"ENSG00000116299","ELAPOR1",180,-92
1.01881568705977e-14,"ENSG00000184702","SEPTIN5",181,40455
1.03150497650251e-14,"ENSG00000214688","C10orf105",182,-66
1.10359057691687e-14,"ENSG00000267855","NDUFA7",183,24755
1.27233394005475e-14,"ENSG00000187608","ISG15",184,-106
1.30001147679176e-14,"ENSG00000156802","ATAD2",185,-120
1.43477433958545e-14,"ENSG00000239474","KLHL41",186,-55
1.47561962246103e-14,"ENSG00000119121","TRPM6",187,-111
1.47561962246103e-14,"ENSG00000163507","CIP2A",188,-75
1.48395264164984e-14,"ENSG00000140932","CMTM2",189,-116
1.55829845574365e-14,"ENSG00000213809","KLRK1",190,1964
1.56788286497918e-14,"ENSG00000281344","HELLPAR",191,-52
1.62067049333876e-14,"ENSG00000143774","GUK1",192,-115
1.92607112920001e-14,"ENSG00000008438","PGLYRP1",193,-126
2.23657950515837e-14,"ENSG00000213931","HBE1",194,NA
2.30788472337969e-14,"ENSG00000007062","PROM1",195,-123
2.31971450370832e-14,"ENSG00000117862","TXNDC12",196,32135
2.48857483589478e-14,"ENSG00000115590","IL1R2",197,-122
2.94637841183026e-14,"ENSG00000243772","KIR2DL3",198,-49
2.99790909706186e-14,"ENSG00000261824","LINC00662",199,654
3.24431883463203e-14,"ENSG00000235652","FBXO30-DT",200,516
3.31794728591669e-14,"ENSG00000197114","ZGPAT",201,5993
3.36983826474093e-14,"ENSG00000279117","AP001972.5",202,NA
