"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000118193",8,11,9,625,1573,870,4.64868748387433e-15,"KIF14",169,27
"ENSG00000114626",9763,15191,66989,1553,1115,1399,4.81185375390817e-15,"ABTB1",170,-119
"ENSG00000254505",1267,770,3238,129,183,154,4.92954314117219e-15,"CHMP4A",171,25194
"ENSG00000134072",427,533,509,63,52,59,5.12643420133637e-15,"CAMK1",172,26515
"ENSG00000077454",6405,5716,15642,1789,1097,1041,5.58787615254435e-15,"LRCH4",173,3526
"ENSG00000103569",12377,33002,169619,196,533,27,5.58910816498805e-15,"AQP9",174,-92
"ENSG00000262814",288,437,522,59,29,36,6.6438147021943e-15,"MRPL12",175,42140
"ENSG00000196843",6046,5787,20256,1423,958,1156,7.04114072483688e-15,"ARID5A",176,-129
"ENSG00000206172",486504,254282,48153,246,0,34,7.20725638367045e-15,"HBA1",177,-16
"ENSG00000213654",17668,18151,82636,2507,3086,1982,7.53914909347782e-15,"GPSM3",178,-110
"ENSG00000139618",51,40,112,1630,2668,1911,8.49658014451617e-15,"BRCA2",179,-117
"ENSG00000116299",1495,1235,1636,57,5,21,9.42203421961842e-15,"ELAPOR1",180,-92
"ENSG00000184702",1121,324,449,19,6,5,1.01881568705977e-14,"SEPTIN5",181,40455
"ENSG00000214688",144,180,352,32,19,15,1.03150497650251e-14,"C10orf105",182,-66
"ENSG00000267855",204,311,738,38,40,19,1.10359057691687e-14,"NDUFA7",183,24755
"ENSG00000187608",471,400,1053,116,115,79,1.27233394005475e-14,"ISG15",184,-106
"ENSG00000156802",162,186,270,4161,3968,3448,1.30001147679176e-14,"ATAD2",185,-120
"ENSG00000239474",119,111,309,3,2,9,1.43477433958545e-14,"KLHL41",186,-55
"ENSG00000119121",168,305,210,8,10,14,1.47561962246103e-14,"TRPM6",187,-111
"ENSG00000163507",28,34,48,1032,1051,772,1.47561962246103e-14,"CIP2A",188,-75
"ENSG00000140932",368,934,5416,21,6,29,1.48395264164984e-14,"CMTM2",189,-116
"ENSG00000213809",3038,3400,534,22,5,1,1.55829845574365e-14,"KLRK1",190,1964
"ENSG00000281344",2,3,12,424,808,946,1.56788286497918e-14,"HELLPAR",191,-52
"ENSG00000143774",21540,14629,15140,2048,1369,1146,1.62067049333876e-14,"GUK1",192,-115
"ENSG00000008438",3615,1387,3178,110,15,28,1.92607112920001e-14,"PGLYRP1",193,-126
"ENSG00000213931",415,2762,255,0,0,0,2.23657950515837e-14,"HBE1",194,NA
"ENSG00000007062",10,3,1,9905,939,9136,2.30788472337969e-14,"PROM1",195,-123
"ENSG00000117862",808,1586,5767,157,127,129,2.31971450370832e-14,"TXNDC12",196,32135
"ENSG00000115590",2036,33798,435035,144,114,5,2.48857483589478e-14,"IL1R2",197,-122
"ENSG00000243772",271,271,125,6,7,5,2.94637841183026e-14,"KIR2DL3",198,-49
