"padj","gene","symbol","rank","rank_change"
4.33018032993971e-13,"ENSG00000167768","KRT1",103,135
4.56638637719662e-13,"ENSG00000134668","SPOCD1",104,119
4.6138329988073e-13,"ENSG00000142731","PLK4",105,58
4.98377105672893e-13,"ENSG00000068971","PPP2R5B",106,202
4.98377105672893e-13,"ENSG00000173110","HSPA6",107,121
4.98377105672893e-13,"ENSG00000173868","PHOSPHO1",108,127
5.16800873445896e-13,"ENSG00000149639","SOGA1",109,122
5.63438018875658e-13,"ENSG00000149289","ZC3H12C",110,123
5.63438018875658e-13,"ENSG00000204592","HLA-E",111,116
5.9923317862801e-13,"ENSG00000104879","CKM",112,308
6.37075741167955e-13,"ENSG00000163507","CIP2A",113,75
8.90405470501817e-13,"ENSG00000225470","JPX",114,-27
9.25502947434128e-13,"ENSG00000115607","IL18RAP",115,130
9.77168984790265e-13,"ENSG00000214688","C10orf105",116,66
1.03505770645375e-12,"ENSG00000106484","MEST",117,947
1.07830115972521e-12,"ENSG00000147872","PLIN2",118,151
1.07830115972521e-12,"ENSG00000168530","MYL1",119,250
1.30009882395436e-12,"ENSG00000130165","ELOF1",120,179
1.55673593702101e-12,"ENSG00000178295","GEN1",121,177
1.58873043295782e-12,"ENSG00000184481","FOXO4",122,191
1.60240605866855e-12,"ENSG00000152463","OLAH",123,143
1.7555741364163e-12,"ENSG00000286071","AL136171.2",124,NA
1.95805708660878e-12,"ENSG00000034152","MAP2K3",125,165
2.09768327528868e-12,"ENSG00000127084","FGD3",126,151
2.23437778592241e-12,"ENSG00000124766","SOX4",127,159
2.5481315727419e-12,"ENSG00000066279","ASPM",128,12
2.5481315727419e-12,"ENSG00000159173","TNNI1",129,300
2.64734141204268e-12,"ENSG00000051341","POLQ",130,30
2.76249113361529e-12,"ENSG00000239474","KLHL41",131,55
2.91528074849706e-12,"ENSG00000139890","REM2",132,138
2.98506834628952e-12,"ENSG00000175003","SLC22A1",133,234
3.17132122696803e-12,"ENSG00000136205","TNS3",134,105
3.35120977576311e-12,"ENSG00000172270","BSG",135,172
3.61681820745917e-12,"ENSG00000164309","CMYA5",136,556
3.64003364002304e-12,"ENSG00000286051","AC244102.3",137,NA
3.66028525402873e-12,"ENSG00000128340","RAC2",138,138
4.75804683909055e-12,"ENSG00000281344","HELLPAR",139,52
5.56059517976811e-12,"ENSG00000119969","HELLS",140,148
5.62784828183765e-12,"ENSG00000173846","PLK3",141,122
5.70515767117559e-12,"ENSG00000196923","PDLIM7",142,243
6.39495956848175e-12,"ENSG00000013306","SLC25A39",143,146
6.39495956848175e-12,"ENSG00000144792","ZNF660",144,172
6.51737761055125e-12,"ENSG00000170525","PFKFB3",145,158
6.56888176775544e-12,"ENSG00000168878","SFTPB",146,1813
6.79304183638403e-12,"ENSG00000177791","MYOZ1",147,374
6.99185848784709e-12,"ENSG00000186439","TRDN",148,837
7.07922418313718e-12,"ENSG00000243772","KIR2DL3",149,49
7.9374617499701e-12,"ENSG00000173894","CBX2",150,108
8.2761725497681e-12,"ENSG00000116641","DOCK7",151,203
8.75056670375014e-12,"ENSG00000227507","LTB",152,227
9.17371737278714e-12,"ENSG00000118276","B4GALT6",153,-39
9.38316636305906e-12,"ENSG00000185900","POMK",154,-131
9.4986048868907e-12,"ENSG00000124731","TREM1",155,385
9.85624139107812e-12,"ENSG00000105501","SIGLEC5",156,-90
9.95376910400913e-12,"ENSG00000185480","PARPBP",157,333
1.10536079106734e-11,"ENSG00000131669","NINJ1",158,163
1.10536079106734e-11,"ENSG00000152137","HSPB8",159,398
1.10536079106734e-11,"ENSG00000169180","XPO6",160,185
1.10536079106734e-11,"ENSG00000206172","HBA1",161,16
1.3297352964544e-11,"ENSG00000134986","NREP",162,12387
1.35250894385943e-11,"ENSG00000223960","CHROMR",163,43
1.57034321359003e-11,"ENSG00000178852","EFCAB13",164,296
1.73774836796545e-11,"ENSG00000029153","ARNTL2",165,340
1.9328055762593e-11,"ENSG00000142546","NOSIP",166,302
